t_acc,t_ang,t_ori,acc.x,acc.y,acc.z,ang.x,ang.y,ang.z,yaw,pitch,roll,avg_acc.x,avg_acc.y,avg_acc.z,avg_ang.x,avg_ang.y,avg_ang.z,prev,class
8.77062E+11,8.77062E+11,8.77062E+11,1.20819,-0.60287,1.24729,-55.625,60.8125,46.875,1.1913,-1.1934,3.06148,0.955746,-0.213739,0.202152,0.112728,-0.986743,0.116752,0,1
8.77065E+11,8.77065E+11,8.77065E+11,1.89761,-0.469351,1.64813,49.0625,-56.9375,6.25,-2.75305,-1.4108,0.832471,0.0110511,-0.396537,0.917952,0.120056,0.985112,-0.123045,1,2
8.77065E+11,8.77065E+11,8.77065E+11,0.0634937,-0.625184,-0.315699,22.75,187.625,16.1875,0.952127,-0.815193,3.06263,-0.572885,-0.045712,-0.81836,-0.299596,-0.938058,0.174035,2,3
8.77066E+11,8.77066E+11,8.77066E+11,0.745279,-0.824549,0.341274,-114,-4.25,43.75,0.195356,-1.10838,-2.436,0.935369,-0.132196,0.328037,-0.0947016,0.968176,0.231662,3,4
8.77067E+11,8.77067E+11,8.77067E+11,0.89355,0.0764154,0.170475,107.438,134.562,-52.625,1.68793,-0.926998,2.49163,-0.0292376,0.846866,-0.531002,-0.253815,-0.0796384,-0.963969,4,0
8.77068E+11,8.77068E+11,8.77068E+11,1.39176,-0.12546,0.579334,30.375,87.3125,54.5625,1.15299,-1.04925,3.06714,0.466251,0.702909,0.537149,0.660598,-0.0653616,0.747889,0,3
8.77071E+11,8.77071E+11,8.77071E+11,0.56594,-0.931949,0.263027,-166.875,24.875,80.9375,0.302968,-0.979853,-2.55735,-0.545579,-0.834045,-0.0819359,-0.18874,0.267543,0.94488,3,1
8.77071E+11,8.77071E+11,8.77071E+11,0.809895,-0.486938,0.705289,43.5,-3.25,-11.5,2.26271,-1.44413,2.099,0.236491,0.108835,0.965519,0.215135,0.62843,-0.747524,1,4
8.77072E+11,8.77072E+11,8.77072E+11,1.32472,-0.0733995,0.397613,-2.875,82.4375,19.625,1.56792,-0.941462,2.55364,0.308166,0.820263,-0.481873,-0.318187,-0.905779,-0.279859,4,2
8.77073E+11,8.77073E+11,8.77073E+11,0.455921,-0.781135,-0.41797,-4.0625,192.938,40.75,0.777268,-0.768946,3.0559,-0.645057,-0.107931,-0.756474,-0.209536,-0.708339,0.674055,2,0
8.77074E+11,8.77074E+11,8.77074E+11,0.725373,-0.493259,0.681333,39.25,112.938,-22.625,1.05708,-1.22389,-3.11693,0.489832,-0.453292,0.744708,0.545776,0.767144,-0.337073,0,2
8.77075E+11,8.77075E+11,8.77075E+11,0.794834,-0.00407812,-0.34498,-55.5,162.438,34.5,0.798746,-0.726311,3.02098,-0.425239,0.254458,-0.868575,-0.480214,-0.830327,0.282757,2,4
8.77075E+11,8.77075E+11,8.77075E+11,0.681098,-0.0148617,0.684373,142.812,61.125,-21.4375,1.56349,-1.18079,2.40547,0.778973,0.196844,0.59536,0.0399823,0.985132,-0.167085,4,1
8.77076E+11,8.77076E+11,8.77076E+11,0.569489,-0.499495,0.78026,-12.1875,35.1875,17,-2.29606,-1.5027,0.212575,-0.548666,-0.297797,0.781206,0.636819,0.74216,0.208949,1,3
8.77077E+11,8.77077E+11,8.77077E+11,1.19243,-1.38249,0.827325,-109.125,22.9375,11.5,0.386918,-0.945211,-2.81591,-0.497036,-0.205906,-0.842946,-0.376512,-0.750762,0.542765,3,0
8.77078E+11,8.77078E+11,8.77078E+11,1.36531,-0.298504,0.205517,12.5,82.125,47.5,1.26551,-0.926188,2.953,-0.462921,0.361426,-0.809367,0.411586,-0.220142,-0.884383,0,4
8.7708E+11,8.7708E+11,8.7708E+11,0.675568,-0.412357,0.509357,92.8125,88.25,-73.1875,1.72911,-0.919721,2.34755,0.179857,0.4238,0.887719,-0.833158,0.280246,-0.476771,4,3
8.7708E+11,8.7708E+11,8.7708E+11,0.616188,-0.845425,0.204518,-113.562,-10.375,88.125,0.0631312,-1.15263,-2.0226,-0.911829,-0.00472114,-0.410544,0.477861,0.556446,0.679718,3,2
8.77081E+11,8.77081E+11,8.77081E+11,0.726164,-0.147117,-0.167396,-150.812,92.5625,133.125,0.833331,-0.717734,2.97087,-0.201387,-0.407034,-0.890936,-0.362682,-0.917423,0.163696,2,1
8.77082E+11,8.77082E+11,8.77082E+11,1.38705,0.284623,1.12066,-50.3125,-36.3125,-2.625,-2.15507,-1.29283,0.146604,0.396837,0.311957,0.863252,0.303813,0.949186,-0.0821255,1,0
8.77083E+11,8.77083E+11,8.77083E+11,0.713657,-0.167794,0.286019,-48.5,51.4375,43.875,1.07876,-1.04945,3.063,0.0103435,0.130881,-0.991344,-0.0296824,-0.999161,0.0282334,0,1
8.77084E+11,8.77084E+11,8.77084E+11,0.706861,-0.227999,0.558791,23,65.3125,-9.875,-2.46727,-1.38074,0.450509,-0.543646,-0.616309,0.569748,0.101653,0.993636,-0.0485242,1,2
8.77084E+11,8.77084E+11,8.77084E+11,0.978369,0.0796839,0.344625,40.4375,169.938,8.875,0.839071,-0.860492,3.13891,0.387577,-0.0205356,-0.921609,-0.247515,-0.961859,0.116465,2,3
8.77085E+11,8.77085E+11,8.77085E+11,0.534773,-0.435683,0.189974,-200.688,10.125,110.062,0.0923316,-1.24703,-2.16438,-0.84765,-0.530259,0.0177377,0.288795,0.946325,-0.14514,3,4
8.77086E+11,8.77086E+11,8.77086E+11,1.04526,-0.0612255,0.619448,-40.6875,80.125,20.6875,1.55821,-1.00981,2.45129,0.976432,0.175863,0.125109,-0.623446,-0.24577,-0.742234,4,0
8.77087E+11,8.77087E+11,8.77087E+11,0.635087,-0.17468,0.247558,10.5625,28.5,43.4375,1.14628,-1.12234,2.9869,-0.849737,0.278582,0.447592,0.676722,0.136569,0.723461,0,3
8.77089E+11,8.77089E+11,8.77089E+11,0.530966,-0.488624,0.203421,-155.625,-17.25,107.062,0.230766,-1.06869,-2.40432,-0.485186,-0.612157,-0.624386,0.217608,0.407828,0.886749,3,1
8.7709E+11,8.7709E+11,8.7709E+11,0.651563,-0.555857,0.693523,89.125,-52.25,-40.0625,-3.03687,-1.4092,1.03827,0.339042,-0.042067,0.93983,0.161653,0.825109,-0.541353,1,4
8.7709E+11,8.7709E+11,8.7709E+11,1.20857,0.419327,0.425992,2.6875,52.6875,23.9375,1.50526,-0.928371,2.67554,0.283867,0.752877,-0.593797,-0.0223183,-0.980621,-0.194639,4,2
8.77091E+11,8.77091E+11,8.77091E+11,0.952206,0.387769,-0.0879875,32.5625,130.438,40.5,0.706079,-0.886115,3.04024,-0.390311,-0.514069,-0.7638,-0.422844,-0.335368,0.841862,2,0
8.77092E+11,8.77092E+11,8.77092E+11,0.983555,-0.493269,0.518613,45.875,174.438,-0.75,1.16753,-1.238,2.94142,0.373965,-0.745184,0.552133,0.554378,0.686147,-0.471027,0,2
8.77093E+11,8.77093E+11,8.77093E+11,0.769886,0.121987,0.529964,15.1875,117.312,24.1875,0.757535,-0.914263,3.06136,0.743863,0.463265,0.481719,-0.409622,-0.816556,0.40675,2,4
8.77094E+11,8.77094E+11,8.77094E+11,0.761951,0.0358769,0.522962,130.125,75.625,-38.75,1.25188,-1.06168,2.5487,-0.688156,0.134913,-0.71291,-0.415871,0.874002,-0.25134,4,1
8.77095E+11,8.77095E+11,8.77095E+11,1.63941,-0.130267,1.31811,32,26.625,0.8125,2.78789,-1.46863,1.3896,0.447606,-0.162783,0.87929,0.648873,0.759458,0.0467682,1,3
8.77095E+11,8.77095E+11,8.77095E+11,0.596077,-0.467608,0.210968,6.25,36.75,-2.8125,0.329782,-0.924228,-2.70271,-0.497813,-0.0654959,-0.864808,-0.267145,-0.77955,0.566512,3,0
8.77096E+11,8.77096E+11,8.77096E+11,1.23435,-0.173235,0.157637,-11.1875,109.25,53.25,1.22648,-0.979983,3.03745,-0.101409,0.104358,-0.989356,0.410087,-0.250203,-0.877056,0,4
8.77097E+11,8.77097E+11,8.77097E+11,0.535128,0.19906,0.551895,78.8125,81.4375,8.1875,1.55943,-0.959691,2.51309,0.215008,0.309669,0.926216,-0.945155,0.241908,-0.219461,4,3
8.77098E+11,8.77098E+11,8.77098E+11,0.73101,-0.860193,0.358922,-183.375,26.5625,138.188,0.135337,-1.05311,-2.29467,-0.489352,-0.653532,-0.577434,0.409703,0.360342,0.838032,3,2
8.77099E+11,8.77099E+11,8.77099E+11,1.25194,0.197779,0.798531,46.4375,152.062,18.0625,0.677777,-0.871417,3.03676,0.60793,-0.747707,-0.267126,-0.419901,-0.854891,0.304705,2,1
8.771E+11,8.771E+11,8.771E+11,0.341503,-0.232537,1.07595,51,70.1875,3.6875,-2.29128,-1.25071,0.143441,-0.262044,0.429435,0.864244,0.373498,0.921619,-0.105443,1,0
8.77101E+11,8.77101E+11,8.77101E+11,0.720348,-0.220593,0.314448,0.25,74.125,24.0625,1.13112,-1.13095,3.04952,0.184683,0.335676,-0.923696,0.21206,-0.976903,-0.0262908,0,1
8.77103E+11,8.77103E+11,8.77103E+11,0.860349,-0.0175544,0.532093,64.75,-3.625,-5.6875,-2.76787,-1.35131,0.742146,-0.0430065,-0.324917,0.944764,0.0540402,0.996229,-0.0678864,1,2
8.77103E+11,8.77103E+11,8.77103E+11,0.963865,0.191729,0.263792,60.9375,150.5,4.75,0.7678,-0.900581,2.99896,0.00810085,0.0830713,-0.996511,-0.395211,-0.874866,0.280031,2,3
8.77104E+11,8.77104E+11,8.77104E+11,0.796023,-0.600279,0.439736,-202.812,21.9375,133.062,0.0999159,-1.24413,-2.17206,-0.492666,-0.744967,0.449781,0.467585,0.835827,-0.287677,3,4
8.77105E+11,8.77105E+11,8.77105E+11,0.721552,-0.255416,0.185344,-41.0625,124.562,9.375,1.64223,-0.888131,2.48342,0.434437,0.479034,-0.762752,-0.489554,-0.483778,-0.725463,4,0
8.77106E+11,8.77106E+11,8.77106E+11,0.75316,-0.24363,0.295666,19.875,58.625,23.875,1.05593,-1.13932,3.06099,-0.446306,0.403008,0.798996,0.208008,0.282776,0.93636,0,3
8.77108E+11,8.77108E+11,8.77108E+11,0.582081,-0.508025,0.0592071,-78.875,58.4375,78.75,0.320919,-1.10031,-2.52012,0.102489,-0.994546,-0.0193247,0.263932,0.416895,0.869793,3,1
